runtime_path	sha256	provenance_group	evidence	license
assets/frozendawn/sounds/entity/bloombound_undone/hurt.ogg	46e802c8392f5f0a9369877adb6057f1916ca7f1031dc2115f2789287471cdbf	bloom_mixed	tools/audio_sources/bloom/SOURCES.md	Inherited source terms and original
assets/frozendawn/sounds/entity/frostwrithe/assemble.ogg	f45a8fe9eedb196dbe46cd9e0a80312cbb5eac5f2310287a135699a8af30aa7f	frostwrithe_mixed	tools/audio_sources/frostwrithe/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/frostwrithe/body_check.ogg	502c04afe64185b4d3aef61704b5737339ee61eff38a26410897f06afa35148c	frostwrithe_mixed	tools/audio_sources/frostwrithe/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/frostwrithe/bridge.ogg	c52ad91074c42511448eb02ad3cb1c6277993bf2d95a9e44918f8a38500e117b	frostwrithe_mixed	tools/audio_sources/frostwrithe/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/frostwrithe/climb.ogg	a13b49b22b47975fe4d8365fbcaafb37a004f918dff6d30b52a679c219ae4731	frostwrithe_mixed	tools/audio_sources/frostwrithe/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/frostwrithe/disassemble.ogg	7396448b286ed0d0470cf2928241c4906a1ac3bd5ccdd850e9f0628b8adb1d2c	frostwrithe_mixed	tools/audio_sources/frostwrithe/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/frostwrithe/movement.ogg	a71988db2a8fa0b4363b48969f1b0620162c1d977b8b175b875de97e694e3d3b	frostwrithe_mixed	tools/audio_sources/frostwrithe/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/frostwrithe/overrun.ogg	53c24e3d412d7108e6cf3b154131c616f4bfa1f4cb7084b011e0d6797e39aa0b	frostwrithe_mixed	tools/audio_sources/frostwrithe/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/frostwrithe/regroup.ogg	458be107393ea23b7e036591e6281a2fed16b8be6edb31fc8a4fe34b9b0e25db	frostwrithe_mixed	tools/audio_sources/frostwrithe/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/frostwrithe/shed.ogg	5aae882ec7dce72993b40a0152ca3f3507ad8e7c6e4c458a383825d7b4744ee0	frostwrithe_mixed	tools/audio_sources/frostwrithe/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/frostwrithe/shell.ogg	8f57416b4dc97b37a2c480a3d3370f6f20c45e46f2a62601105db0da702dae3d	frostwrithe_mixed	tools/audio_sources/frostwrithe/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/frostwrithe/terminal.ogg	92719768faaa67e765c5d871a811edb30b97c4a87f4fb793c6e28803bd15a931	frostwrithe_mixed	tools/audio_sources/frostwrithe/SOURCES.md	CC0-derived
assets/frozendawn/sounds/entity/heart_successor/voice_cold.ogg	268fb5865bf4bd6c3e89ff83ffa9a3f5fcdda481f296593dff20ae1d33fb1cee	generated_voice	tools/audio_sources/generated_voice/NOTICE.md	CC BY-SA 4.0
assets/frozendawn/sounds/entity/heart_successor/voice_dont.ogg	4c7b4d4e5fee915f8256da75e3e3b02cb7619360ce23e542ce1121f1fb2325a1	generated_voice	tools/audio_sources/generated_voice/NOTICE.md	CC BY-SA 4.0
assets/frozendawn/sounds/entity/heart_successor/voice_hello.ogg	2edb488210f579c024943a883a362db057eb4f11000881d7a167740f18566b4b	generated_voice	tools/audio_sources/generated_voice/NOTICE.md	CC BY-SA 4.0
assets/frozendawn/sounds/entity/heart_successor/voice_kevin.ogg	394b38a475b65f8106ae1e32e8f3a4e7755f180578ca298218b88816fe90c78f	generated_voice	tools/audio_sources/generated_voice/NOTICE.md	CC BY-SA 4.0
assets/frozendawn/sounds/entity/heart_successor/voice_why.ogg	845b5f2c359a03668434e5df5e2221dea5623384b9a0e27faff580de5cb9321c	generated_voice	tools/audio_sources/generated_voice/NOTICE.md	CC BY-SA 4.0
